,airline,departure_time,stops,class,duration,days_left,price
245311,Air_India,Late_Night,one,Business,15.33,8,52586
214741,Vistara,Night,one,Business,11.17,35,54777
251405,Air_India,Evening,one,Business,16.83,33,54684
24863,Vistara,Afternoon,one,Economy,25.33,28,6578
35430,SpiceJet,Evening,one,Economy,25.58,2,7425
35834,Indigo,Evening,zero,Economy,3.0,6,7425
167741,Vistara,Night,one,Economy,20.42,23,7301
82399,AirAsia,Night,one,Economy,12.33,38,1890
26119,Indigo,Evening,one,Economy,4.17,35,6020
76338,Indigo,Evening,zero,Economy,1.42,43,2901
54194,Air_India,Early_Morning,one,Economy,16.17,10,9201
297932,Air_India,Evening,one,Business,16.0,46,67473
275164,Vistara,Afternoon,one,Business,19.67,10,47395
279657,Vistara,Early_Morning,one,Business,7.17,39,52715
38931,GO_FIRST,Afternoon,one,Economy,6.83,25,4896
230700,Air_India,Morning,one,Business,14.17,10,54608
70870,Air_India,Early_Morning,one,Economy,15.58,6,7584
33127,Vistara,Afternoon,one,Economy,5.42,34,5772
17769,Vistara,Afternoon,one,Economy,4.75,39,3672
62027,Air_India,Night,zero,Economy,2.75,5,7413
100856,Air_India,Evening,one,Economy,19.0,39,6158
222878,Vistara,Morning,one,Business,11.08,17,60232
40634,GO_FIRST,Evening,one,Economy,8.5,35,4709
44811,GO_FIRST,Afternoon,zero,Economy,2.25,12,5942
243092,Vistara,Early_Morning,one,Business,16.25,24,57453
48678,Indigo,Morning,zero,Economy,1.92,30,3108
161132,Air_India,Evening,two_or_more,Economy,23.83,20,7895
265551,Air_India,Night,one,Business,23.5,24,50271
121289,GO_FIRST,Night,one,Economy,10.17,13,6995
64150,Air_India,Morning,one,Economy,24.5,17,4457
244926,Vistara,Morning,one,Business,8.33,3,49465
11298,Vistara,Evening,zero,Economy,2.75,9,7425
271502,Vistara,Morning,one,Business,6.75,28,52175
186683,Indigo,Morning,one,Economy,6.33,44,3361
10047,Indigo,Morning,one,Economy,8.58,1,16088
225383,Vistara,Evening,one,Business,24.42,6,36565
172292,Air_India,Early_Morning,one,Economy,29.67,16,8909
284065,Vistara,Afternoon,one,Business,9.83,24,79461
9168,GO_FIRST,Morning,one,Economy,8.17,45,13896
165563,Air_India,Evening,two_or_more,Economy,16.0,49,7496
153623,Vistara,Morning,one,Economy,14.5,12,10018
174461,Indigo,Late_Night,zero,Economy,2.17,34,3823
92032,GO_FIRST,Morning,one,Economy,8.58,40,4028
169706,Vistara,Afternoon,one,Economy,6.33,41,5441
1261,AirAsia,Night,one,Economy,10.5,8,14670
293970,Vistara,Afternoon,one,Business,6.75,13,44144
123919,GO_FIRST,Morning,two_or_more,Economy,8.25,28,6488
199721,Indigo,Night,one,Economy,6.75,21,5042
193204,Vistara,Early_Morning,one,Economy,15.08,44,4637
19177,Air_India,Evening,one,Economy,17.17,45,4230
112766,AirAsia,Early_Morning,zero,Economy,1.17,28,1714
130215,GO_FIRST,Afternoon,one,Economy,6.83,19,5888
40171,SpiceJet,Evening,one,Economy,22.92,32,6581
270743,Air_India,Early_Morning,one,Business,16.58,12,52063
131563,GO_FIRST,Evening,zero,Economy,2.83,27,4499
271267,Air_India,Morning,one,Business,8.92,23,52063
38875,Air_India,Morning,one,Economy,25.92,25,3988
254460,Vistara,Morning,one,Business,8.33,27,51817
89819,Vistara,Morning,one,Economy,7.42,30,4111
294209,Vistara,Afternoon,one,Business,22.25,17,44144
109332,Air_India,Morning,one,Economy,11.92,47,6583
97370,Vistara,Evening,zero,Economy,1.75,21,2150
166081,Indigo,Morning,one,Economy,4.25,8,6753
53840,Indigo,Evening,zero,Economy,1.75,8,5838
188894,Air_India,Night,one,Economy,23.67,13,9141
236707,Air_India,Afternoon,one,Business,17.42,33,49725
96975,Air_India,Late_Night,one,Economy,17.42,18,7228
30050,Vistara,Evening,one,Economy,15.5,12,11310
56536,Air_India,Early_Morning,two_or_more,Economy,27.17,22,7766
298249,Vistara,Morning,one,Business,12.17,7,51457
144680,Vistara,Evening,one,Economy,25.17,21,6390
93976,Indigo,Early_Morning,zero,Economy,2.92,49,4500
116609,GO_FIRST,Early_Morning,one,Economy,9.67,15,8625
49837,Air_India,Night,one,Economy,16.0,35,6304
125026,Indigo,Morning,zero,Economy,2.42,35,4389
103724,Air_India,Night,one,Economy,17.5,9,13894
280889,Vistara,Night,one,Business,14.25,13,56702
81337,Vistara,Early_Morning,one,Economy,15.25,30,5348
63148,Air_India,Afternoon,one,Economy,17.42,11,11508
35536,Indigo,Afternoon,one,Economy,6.42,3,7950
71804,GO_FIRST,Afternoon,one,Economy,8.17,13,4262
145423,Air_India,Afternoon,two_or_more,Economy,21.0,27,6213
210419,Air_India,Early_Morning,zero,Business,2.17,36,22152
60117,Indigo,Afternoon,one,Economy,5.25,42,2124
224832,Vistara,Evening,one,Business,15.08,47,60232
57926,Air_India,Morning,zero,Economy,1.67,30,2132
1666,GO_FIRST,Afternoon,zero,Economy,2.08,11,5954
248155,Vistara,Night,one,Business,15.0,43,54841
258396,Vistara,Early_Morning,one,Business,14.92,40,56588
205807,Vistara,Afternoon,two_or_more,Economy,23.75,39,6032
198829,Indigo,Morning,one,Economy,9.33,13,5499
205706,Vistara,Early_Morning,two_or_more,Economy,13.92,38,6032
91065,AirAsia,Afternoon,one,Economy,7.33,36,2723
31190,AirAsia,Early_Morning,two_or_more,Economy,8.42,21,2977
158183,Vistara,Morning,zero,Economy,2.42,47,2350
194518,Vistara,Early_Morning,two_or_more,Economy,9.08,11,18051
93494,Vistara,Evening,one,Economy,12.67,47,4111
245426,Vistara,Night,one,Business,22.08,9,66937
23171,Indigo,Afternoon,one,Economy,5.42,19,4472
299248,Air_India,Night,one,Business,14.17,30,51345
264528,Vistara,Morning,one,Business,11.0,10,64831
170431,Vistara,Morning,one,Economy,10.75,47,5441
295797,Vistara,Night,one,Business,22.75,47,44144
230506,Air_India,Early_Morning,one,Business,11.25,8,44787
186488,Indigo,Evening,one,Economy,5.25,43,2051
15446,GO_FIRST,Evening,one,Economy,5.75,28,4205
150384,Indigo,Early_Morning,one,Economy,8.25,27,4297
242102,Vistara,Evening,zero,Business,2.08,11,23898
156581,Indigo,Night,zero,Economy,2.25,35,2278
105369,Vistara,Evening,two_or_more,Economy,13.75,20,10225
288500,Vistara,Morning,one,Business,12.17,17,60160
98645,Vistara,Early_Morning,one,Economy,9.5,27,6568
230838,Vistara,Early_Morning,one,Business,11.33,11,69168
263997,Air_India,Afternoon,one,Business,30.08,2,54852
144268,AirAsia,Evening,two_or_more,Economy,13.0,18,4589
148852,GO_FIRST,Afternoon,one,Economy,9.83,11,13386
220776,Air_India,Night,one,Business,11.58,31,44405
83605,Vistara,Afternoon,one,Economy,19.25,46,3998
215893,Air_India,Early_Morning,one,Business,29.17,2,57790
99236,Air_India,Night,one,Economy,12.08,30,6578
270451,Air_India,Afternoon,one,Business,29.83,6,52063
115601,SpiceJet,Early_Morning,zero,Economy,1.08,2,3497
93801,GO_FIRST,Afternoon,one,Economy,7.08,48,6022
213199,Vistara,Evening,one,Business,6.08,17,50297
47435,Vistara,Evening,one,Economy,15.92,24,5343
206758,Vistara,Afternoon,one,Business,6.0,2,57868
166477,AirAsia,Evening,one,Economy,7.67,12,4451
146394,Indigo,Early_Morning,one,Economy,7.67,35,6990
107570,Air_India,Night,one,Economy,22.17,35,6583
211171,Vistara,Afternoon,one,Business,7.58,42,53164
142017,Vistara,Early_Morning,two_or_more,Economy,10.58,46,7763
188156,Vistara,Morning,one,Economy,10.5,7,12408
297540,Air_India,Morning,zero,Business,2.58,38,20000
222335,Vistara,Evening,one,Business,16.08,9,53512
17117,Indigo,Morning,one,Economy,9.92,36,3253
123142,Vistara,Evening,zero,Economy,2.42,24,5261
263779,Air_India,Evening,one,Business,27.58,46,53743
146575,Air_India,Early_Morning,one,Economy,27.5,37,5144
240474,Air_India,Evening,one,Business,15.08,36,32230
205998,Vistara,Morning,two_or_more,Economy,26.5,41,6032
232482,Air_India,Evening,one,Business,18.5,30,54608
150009,Air_India,Early_Morning,one,Economy,12.0,23,5915
291122,Air_India,Evening,one,Business,16.08,14,57494
169874,Air_India,Early_Morning,one,Economy,17.67,42,6314
143520,Indigo,Early_Morning,one,Economy,8.58,11,11949
284627,Air_India,Evening,one,Business,6.08,35,51707
164262,Vistara,Morning,one,Economy,11.25,40,6341
95512,GO_FIRST,Night,one,Economy,13.83,11,5177
41330,Vistara,Early_Morning,one,Economy,6.08,39,5098
161110,Air_India,Afternoon,one,Economy,23.67,20,4937
174712,Vistara,Morning,one,Economy,25.17,36,7767
11770,Air_India,Morning,one,Economy,14.08,11,9840
238373,Vistara,Morning,one,Business,11.17,7,60365
159406,Indigo,Night,one,Economy,9.75,9,10123
271481,Air_India,Afternoon,one,Business,29.83,27,52063
117922,Vistara,Evening,one,Economy,14.42,30,4672
233904,Vistara,Morning,one,Business,8.5,46,66928
88050,GO_FIRST,Evening,one,Economy,4.83,21,10732
207472,Vistara,Afternoon,one,Business,5.0,9,44081
137177,Indigo,Morning,one,Economy,10.5,14,7954
293619,Vistara,Night,one,Business,19.92,6,60260
135170,Air_India,Night,one,Economy,11.83,47,5616
89864,Air_India,Early_Morning,one,Economy,26.5,30,4094
68490,AirAsia,Night,one,Economy,5.42,40,2836
219121,Air_India,Evening,zero,Business,2.08,1,25600
17889,Air_India,Evening,one,Economy,27.25,39,4469
278284,Vistara,Afternoon,one,Business,6.67,18,60555
99040,Air_India,Afternoon,one,Economy,6.67,29,6578
522,Indigo,Early_Morning,one,Economy,5.08,4,12302
110180,Air_India,Afternoon,one,Economy,10.25,6,13054
15095,SpiceJet,Morning,one,Economy,21.0,26,5936
112576,Vistara,Night,one,Economy,23.25,26,5322
150657,Vistara,Night,one,Economy,23.33,29,7021
247641,Vistara,Morning,one,Business,5.0,37,45097
101759,Indigo,Afternoon,one,Economy,6.92,44,4371
128698,Air_India,Early_Morning,two_or_more,Economy,33.42,10,14115
47889,Air_India,Early_Morning,one,Economy,16.83,26,5269
43103,Air_India,Evening,one,Economy,21.67,1,23058
60006,Vistara,Afternoon,one,Economy,8.0,41,6450
260231,Vistara,Night,one,Business,11.17,30,44280
64295,Indigo,Evening,one,Economy,6.67,17,8059
61919,Indigo,Early_Morning,one,Economy,5.17,4,10511
280429,Air_India,Early_Morning,one,Business,17.67,4,56590
130164,GO_FIRST,Morning,one,Economy,13.92,19,5507
19678,SpiceJet,Morning,one,Economy,10.42,47,5938
264675,Air_India,Night,one,Business,14.75,12,50271
79204,AirAsia,Afternoon,one,Economy,4.33,16,1890
190726,Air_India,Early_Morning,one,Economy,11.83,26,4357
95775,Air_India,Evening,one,Economy,24.67,12,9277
73210,Vistara,Evening,one,Economy,22.5,22,4359
194050,Vistara,Night,one,Economy,22.75,5,9284
230942,Vistara,Night,zero,Business,1.83,13,20684
235710,Vistara,Morning,one,Business,7.67,21,62045
238204,Vistara,Early_Morning,one,Business,10.5,5,53645
291644,Air_India,Evening,one,Business,19.83,22,49553
81234,GO_FIRST,Early_Morning,zero,Economy,1.83,30,3000
176351,Vistara,Afternoon,one,Economy,9.33,1,19363
89916,Indigo,Night,zero,Economy,2.92,30,4500
244721,Vistara,Night,one,Business,23.33,47,61933
16348,Air_India,Evening,one,Economy,17.33,32,4230
201964,Indigo,Afternoon,one,Economy,7.0,43,4079
39889,Indigo,Evening,zero,Economy,2.92,31,3348
115001,Air_India,Evening,one,Economy,25.75,45,6009
77797,Vistara,Evening,one,Economy,14.17,5,11129
75514,Vistara,Early_Morning,one,Economy,12.42,37,4784
289163,Vistara,Morning,one,Business,4.75,29,45600
200467,Vistara,Night,one,Economy,23.08,27,16602
227910,Vistara,Evening,one,Business,17.33,30,41269
209138,Vistara,Afternoon,one,Business,6.5,24,53164
191574,Air_India,Night,one,Economy,21.67,32,4357
208666,Air_India,Night,one,Business,12.25,20,41113
32286,Air_India,Morning,one,Economy,10.5,28,5950
92616,Vistara,Evening,one,Economy,5.75,43,4111
51779,GO_FIRST,Morning,one,Economy,6.92,44,8717
136167,Vistara,Early_Morning,one,Economy,10.58,6,17828
77567,Vistara,Afternoon,one,Economy,8.08,3,14074
84358,Vistara,Early_Morning,one,Economy,6.0,3,10849
288920,Vistara,Evening,zero,Business,2.75,25,27792
218446,Air_India,Evening,one,Business,17.33,40,42771
157246,AirAsia,Evening,one,Economy,9.58,40,2228
198404,Indigo,Night,one,Economy,10.75,9,7326
259241,Vistara,Night,one,Business,11.17,9,44280
75594,GO_FIRST,Night,one,Economy,11.5,38,3282
4418,Vistara,Afternoon,one,Economy,7.58,23,7575
257688,Vistara,Early_Morning,one,Business,11.92,29,56588
138702,Vistara,Night,one,Economy,20.58,24,8111
272248,Vistara,Morning,one,Business,10.67,42,79817
119808,Indigo,Evening,one,Economy,6.42,2,8930
283602,Air_India,Night,one,Business,25.5,15,51707
10084,AirAsia,Early_Morning,one,Economy,11.5,1,21343
229243,Vistara,Morning,one,Business,13.33,42,53152
260377,Air_India,Afternoon,one,Business,10.25,32,60396
292839,Vistara,Early_Morning,one,Business,7.08,40,56273
214122,Air_India,Early_Morning,one,Business,27.17,28,42457
277437,Vistara,Night,one,Business,16.0,5,58315
160826,AirAsia,Evening,one,Economy,8.17,19,2250
263871,Air_India,Night,zero,Business,2.25,48,28510
81724,Vistara,Morning,one,Economy,14.0,33,4249
109090,Air_India,Morning,one,Economy,8.75,45,8198
120595,SpiceJet,Night,zero,Economy,2.5,9,6488
231237,Air_India,Early_Morning,one,Business,17.08,16,54608
60480,Indigo,Evening,one,Economy,3.75,44,2124
69981,Indigo,Afternoon,one,Economy,5.83,48,3980
206916,Vistara,Morning,zero,Business,2.08,4,44328
183691,GO_FIRST,Afternoon,one,Economy,6.42,25,4827
121755,Indigo,Evening,zero,Economy,2.5,16,4389
167761,Indigo,Early_Morning,zero,Economy,1.5,24,1776
69010,GO_FIRST,Evening,one,Economy,14.0,42,5817
25397,GO_FIRST,Afternoon,one,Economy,8.58,31,6395
245623,Air_India,Early_Morning,one,Business,12.58,12,42521
98503,Vistara,Early_Morning,one,Economy,14.25,26,7212
212374,Vistara,Morning,one,Business,10.58,7,54777
639,GO_FIRST,Early_Morning,one,Economy,14.25,5,8869
234223,Vistara,Early_Morning,one,Business,13.75,2,83437
224922,Air_India,Night,one,Business,25.42,49,38626
291585,Vistara,Evening,one,Business,6.67,21,61873
207977,Air_India,Evening,one,Business,24.75,14,31462
215741,Vistara,Early_Morning,one,Business,11.75,48,57017
200148,SpiceJet,Early_Morning,zero,Economy,2.5,25,4620
214440,Air_India,Early_Morning,one,Business,12.25,32,39783
90732,GO_FIRST,Morning,one,Economy,8.58,34,4028
252459,Air_India,Early_Morning,one,Business,12.08,45,54684
161006,Vistara,Evening,one,Economy,15.75,20,3571
161613,Indigo,Afternoon,one,Economy,6.92,23,10966
231519,Vistara,Early_Morning,one,Business,16.17,19,62448
165740,Vistara,Afternoon,one,Economy,22.42,4,11319
262947,Air_India,Evening,one,Business,17.0,31,53743
204847,Indigo,Afternoon,one,Economy,7.33,29,3491
161427,Indigo,Morning,one,Economy,10.75,22,4836
203511,Vistara,Evening,one,Economy,23.83,12,11247
167533,Vistara,Morning,two_or_more,Economy,7.25,21,12927
177455,Vistara,Morning,one,Economy,23.58,16,9157
212919,Vistara,Evening,zero,Business,2.75,14,32859
45880,SpiceJet,Evening,zero,Economy,2.42,17,2614
42422,Vistara,Early_Morning,zero,Economy,2.75,46,2049
228562,Air_India,Night,one,Business,17.58,36,41101
91016,Vistara,Morning,one,Economy,8.33,35,5407
228088,Air_India,Evening,zero,Business,2.42,32,22140
233137,Vistara,Evening,one,Business,14.17,37,69168
34563,Vistara,Evening,one,Economy,13.25,44,5761
253189,Vistara,Morning,one,Business,8.33,8,51817
171972,AirAsia,Evening,one,Economy,5.83,14,5291
40535,Vistara,Evening,two_or_more,Economy,16.75,34,8719
212215,Vistara,Afternoon,one,Business,16.33,5,54777
222975,Air_India,Evening,one,Business,15.92,19,45257
180157,Vistara,Night,one,Economy,14.25,45,6287
145558,Indigo,Afternoon,one,Economy,8.92,28,6977
6444,Indigo,Morning,one,Economy,8.33,33,2410
240392,Vistara,Evening,one,Business,18.08,34,68317
181230,Indigo,Afternoon,one,Economy,9.08,9,7877
242145,Vistara,Afternoon,one,Business,19.25,11,61933
197408,GO_FIRST,Afternoon,one,Economy,10.42,45,4612
86698,Vistara,Early_Morning,one,Economy,6.0,15,10744
20614,Vistara,Evening,one,Economy,15.92,4,14880
173480,Air_India,Morning,one,Economy,15.25,26,5100
105142,Indigo,Afternoon,one,Economy,4.5,19,5178
60330,Air_India,Night,one,Economy,25.5,43,3885
16515,GO_FIRST,Morning,one,Economy,5.67,33,4020
93807,Air_India,Early_Morning,one,Economy,26.5,48,6241
25120,Vistara,Early_Morning,zero,Economy,2.08,30,4000
74508,Indigo,Evening,zero,Economy,1.33,31,2901
161460,AirAsia,Night,one,Economy,9.08,23,2250
249791,Air_India,Early_Morning,one,Business,11.83,15,54684
282769,Air_India,Morning,zero,Business,1.08,46,12114
8477,GO_FIRST,Afternoon,one,Economy,9.25,42,5323
299842,Vistara,Morning,one,Business,10.17,42,66779
3863,Indigo,Night,zero,Economy,2.25,21,3001
207194,Vistara,Evening,one,Business,6.0,6,60713
70898,Vistara,Morning,one,Economy,11.83,6,8988
60986,Vistara,Early_Morning,one,Economy,15.17,46,7660
293950,Vistara,Evening,one,Business,15.5,12,60260
285891,Vistara,Morning,one,Business,9.92,14,51707
155256,Indigo,Morning,one,Economy,5.25,25,4506
236900,Vistara,Afternoon,one,Business,17.92,36,62045
84315,SpiceJet,Night,zero,Economy,2.67,3,7488
179762,Vistara,Morning,one,Economy,6.0,41,4359
50193,Air_India,Night,one,Economy,26.75,37,4239
165732,Vistara,Afternoon,one,Economy,9.25,4,11319
275295,Vistara,Afternoon,one,Business,5.17,12,51875
263928,Air_India,Afternoon,one,Business,18.25,49,48079
169354,Indigo,Morning,one,Economy,7.67,38,2861
138564,Vistara,Early_Morning,two_or_more,Economy,16.17,23,8111
16969,Indigo,Evening,one,Economy,5.08,35,4168
193042,Indigo,Night,zero,Economy,2.08,43,3000
113322,Vistara,Evening,one,Economy,17.25,32,5322
61565,Air_India,Afternoon,one,Economy,28.5,1,12637
44956,Vistara,Evening,one,Economy,15.92,12,12978
46380,GO_FIRST,Morning,one,Economy,7.5,19,5187
147767,Indigo,Morning,one,Economy,6.5,47,4367
296493,Vistara,Early_Morning,one,Business,12.67,14,57057
181227,Indigo,Morning,one,Economy,8.08,9,7877
132167,Air_India,Afternoon,one,Economy,5.75,30,6048
134055,AirAsia,Morning,one,Economy,14.75,41,3379
26368,Vistara,Evening,one,Economy,14.67,36,7221
252670,Vistara,Morning,one,Business,10.5,47,74844
38051,Vistara,Morning,one,Economy,8.25,20,4979
49543,Indigo,Late_Night,one,Economy,7.17,34,3846
207365,Vistara,Early_Morning,one,Business,15.5,8,45156
259468,Vistara,Evening,one,Business,24.0,15,44280
45270,AirAsia,Afternoon,one,Economy,14.25,14,5939
90535,Indigo,Evening,one,Economy,5.75,33,4071
251857,Vistara,Early_Morning,one,Business,7.0,38,61404
229759,Vistara,Afternoon,one,Business,5.58,47,53152
259161,Air_India,Early_Morning,one,Business,12.83,6,60396
166313,Air_India,Night,one,Economy,12.92,10,13378
278678,Vistara,Morning,one,Business,13.5,24,64890
128289,Air_India,Afternoon,one,Economy,18.42,7,15312
284706,Vistara,Morning,one,Business,11.42,37,48851
103427,Vistara,Evening,one,Economy,24.0,7,11696
268407,Vistara,Morning,one,Business,8.83,20,52287
79757,Air_India,Afternoon,one,Economy,16.0,19,6115
37932,Vistara,Afternoon,two_or_more,Economy,30.58,19,7490
281686,Vistara,Night,one,Business,21.67,27,38099
232854,Vistara,Morning,one,Business,12.25,34,66928
168682,Indigo,Evening,zero,Economy,1.33,32,1776
25615,Vistara,Afternoon,one,Economy,18.17,32,6821
60379,Vistara,Morning,one,Economy,13.92,43,6450
268794,Vistara,Morning,one,Business,21.42,26,52287
82206,GO_FIRST,Evening,one,Economy,5.92,36,4601
189703,Vistara,Morning,one,Economy,12.08,19,4413
20417,Air_India,Evening,one,Economy,17.33,3,12465
94570,Indigo,Early_Morning,one,Economy,7.08,5,6548
282331,Vistara,Afternoon,one,Business,7.0,38,56702
21186,Indigo,Early_Morning,one,Economy,5.0,8,7420
106273,Vistara,Evening,two_or_more,Economy,13.75,26,9175
30490,Air_India,Night,zero,Economy,2.17,16,2518
184452,Indigo,Morning,one,Economy,6.33,30,4121
295660,Air_India,Evening,one,Business,19.5,44,60260
184635,Indigo,Morning,one,Economy,7.75,31,4671
199110,Vistara,Evening,one,Economy,16.42,15,14014
151744,Vistara,Morning,one,Economy,10.0,40,6009
23070,Vistara,Evening,one,Economy,24.08,18,6840
163915,GO_FIRST,Early_Morning,one,Economy,5.75,38,5420
234222,Vistara,Night,one,Business,23.83,2,80077
117850,GO_FIRST,Morning,one,Economy,12.33,29,4687
127509,SpiceJet,Night,one,Economy,11.67,1,7958
139733,Vistara,Morning,one,Economy,7.33,31,6458
247992,Vistara,Evening,one,Business,4.58,41,54841
235097,Air_India,Early_Morning,one,Business,15.33,14,49725
18276,GO_FIRST,Early_Morning,one,Economy,8.17,41,4020
86322,Air_India,Evening,one,Economy,24.17,13,10744
105479,Vistara,Early_Morning,two_or_more,Economy,10.17,21,7106
281443,Vistara,Morning,one,Business,14.33,23,38099
118344,Vistara,Morning,one,Economy,11.25,34,6825
229667,Vistara,Evening,one,Business,14.5,46,53152
98157,AirAsia,Afternoon,one,Economy,6.33,25,2203
266077,Vistara,Morning,one,Business,25.25,31,74273
85140,AirAsia,Evening,two_or_more,Economy,9.33,7,17621
210251,Air_India,Night,one,Business,10.33,34,47217
101414,Air_India,Evening,one,Economy,19.0,42,6158
216258,Air_India,Night,one,Business,17.25,8,47545
224313,Air_India,Evening,zero,Business,2.75,40,27864
215114,Air_India,Morning,one,Business,6.17,40,35490
48685,GO_FIRST,Evening,one,Economy,5.33,30,3324
228731,Air_India,Night,zero,Business,2.25,38,22140
201079,Air_India,Evening,one,Economy,21.5,34,4784
292526,Vistara,Night,one,Business,17.92,35,61873
246054,Vistara,Evening,one,Business,13.75,17,57081
177308,Air_India,Night,one,Economy,18.0,14,16423
196414,Vistara,Morning,one,Economy,11.17,34,4755
215135,Air_India,Evening,one,Business,24.67,40,42457
69249,Indigo,Early_Morning,one,Economy,5.17,44,3980
245456,Air_India,Evening,one,Business,23.08,10,42521
291231,Air_India,Morning,one,Business,11.33,16,49553
69848,Air_India,Early_Morning,one,Economy,26.75,47,4914
114972,Vistara,Evening,one,Economy,13.42,45,5322
54737,Indigo,Early_Morning,zero,Economy,1.58,13,5208
73528,Air_India,Afternoon,one,Economy,7.58,24,4593
21812,AirAsia,Afternoon,two_or_more,Economy,7.75,12,5953
258466,Vistara,Night,one,Business,22.75,41,56588
269331,Vistara,Morning,one,Business,32.0,34,67710
44816,Indigo,Early_Morning,zero,Economy,2.08,12,5943
182426,Vistara,Afternoon,one,Economy,10.5,17,4971
164367,Vistara,Early_Morning,one,Economy,15.17,41,4660
54040,Indigo,Morning,one,Economy,6.42,9,9214
234386,Vistara,Evening,one,Business,30.67,5,58708
172720,Air_India,Evening,one,Economy,26.92,20,4788
131948,Air_India,Afternoon,one,Economy,5.75,29,5523
138136,Vistara,Evening,one,Economy,16.08,20,8111
264076,Air_India,Afternoon,one,Business,21.75,4,50271
142632,AirAsia,Evening,two_or_more,Economy,13.0,3,10742
35032,Vistara,Evening,one,Economy,16.42,47,5772
244134,Vistara,Morning,one,Business,5.92,38,74365
171630,Indigo,Morning,one,Economy,6.58,11,5293
30161,Air_India,Early_Morning,one,Economy,13.58,13,10155
205979,Air_India,Night,one,Economy,23.0,41,4399
170187,Vistara,Afternoon,one,Economy,21.83,45,5441
57,Indigo,Afternoon,one,Economy,8.33,1,13279
170216,Vistara,Evening,one,Economy,18.17,45,6461
288407,Air_India,Evening,one,Business,5.17,16,45185
125312,Vistara,Evening,one,Economy,19.08,36,9668
249621,Air_India,Early_Morning,one,Business,15.42,13,54684
185700,Indigo,Early_Morning,zero,Economy,2.83,38,3275
127804,Vistara,Evening,one,Economy,16.42,4,10425
269885,Air_India,Early_Morning,one,Business,13.08,43,60978
36576,Air_India,Morning,two_or_more,Economy,20.33,11,13161
166142,Air_India,Early_Morning,one,Economy,17.67,8,13588
20138,Air_India,Evening,zero,Economy,2.25,1,6375
250784,Air_India,Evening,one,Business,17.92,26,54684
271608,Air_India,Night,one,Business,14.0,30,52063
268002,Vistara,Evening,one,Business,13.92,13,60978
64701,Indigo,Morning,one,Economy,6.17,19,9350
130906,Air_India,Afternoon,one,Economy,6.67,23,6048
238560,Air_India,Early_Morning,one,Business,15.58,10,45693
224086,Vistara,Evening,one,Business,16.08,36,53512
68595,Vistara,Morning,one,Economy,9.33,40,5949
20287,Air_India,Night,one,Economy,14.17,2,12150
294994,Vistara,Morning,one,Business,13.08,32,44144
26346,GO_FIRST,Evening,one,Economy,6.58,36,6395
218872,Air_India,Morning,one,Business,12.58,46,53209
155009,Vistara,Evening,one,Economy,15.17,23,5823
264048,Vistara,Early_Morning,one,Business,14.08,3,78495
4640,Vistara,Evening,one,Economy,19.5,24,7838
171418,Indigo,Afternoon,one,Economy,6.17,9,7577
291315,Air_India,Night,one,Business,23.67,17,49553
217827,Air_India,Morning,one,Business,25.5,31,31528
109795,Indigo,Early_Morning,zero,Economy,1.33,3,4338
132154,Vistara,Early_Morning,one,Economy,5.42,30,6277
130628,Air_India,Early_Morning,one,Economy,40.42,21,8047
273967,Vistara,Early_Morning,one,Business,13.08,32,55983
234900,Vistara,Evening,one,Business,16.0,11,74141
237007,Vistara,Afternoon,one,Business,17.92,37,88813
272093,Vistara,Afternoon,one,Business,25.67,39,53071
78168,Vistara,Night,one,Economy,11.17,8,11129
250262,Vistara,Early_Morning,one,Business,7.0,20,67004
181105,SpiceJet,Early_Morning,one,Economy,27.17,8,7352
241065,Vistara,Evening,one,Business,24.17,43,60365
7576,AirAsia,Night,one,Economy,10.5,38,4867
207393,Air_India,Early_Morning,one,Business,14.92,8,53164
110533,Vistara,Early_Morning,zero,Economy,1.17,10,4339
73416,Air_India,Morning,one,Economy,7.75,23,5977
294451,Air_India,Morning,one,Business,23.0,21,60260
139810,AirAsia,Early_Morning,one,Economy,11.08,31,8029
133406,Vistara,Early_Morning,one,Economy,11.92,37,6067
209185,Vistara,Afternoon,one,Business,25.58,25,29837
86329,Air_India,Morning,one,Economy,14.58,13,10954
219826,Vistara,Evening,one,Business,18.5,14,53937
121649,Air_India,Morning,one,Economy,12.33,15,8904
260364,Vistara,Morning,one,Business,10.5,32,60396
131473,Vistara,Evening,one,Economy,21.75,26,6067
252218,Vistara,Morning,one,Business,7.92,42,67004
173540,Vistara,Afternoon,one,Economy,7.0,26,7767
50674,Vistara,Early_Morning,one,Economy,5.67,39,6122
177645,Air_India,Night,one,Economy,9.08,18,6543
240877,Air_India,Night,one,Business,24.33,41,50868
277260,Air_India,Early_Morning,one,Business,13.5,2,56040
245497,Vistara,Night,one,Business,20.42,10,62793
273474,Air_India,Afternoon,one,Business,8.08,21,55983
230632,Vistara,Afternoon,one,Business,6.42,9,62560
84216,Air_India,Early_Morning,one,Economy,28.0,2,10744
293558,Vistara,Night,one,Business,19.92,5,60260
180754,Indigo,Evening,zero,Economy,2.75,5,7562
88504,GO_FIRST,Early_Morning,one,Economy,9.92,24,3466
281620,Vistara,Morning,one,Business,10.75,26,38099
44586,Vistara,Afternoon,zero,Economy,2.25,11,5943
207451,Vistara,Evening,one,Business,17.83,9,40945
28228,Air_India,Early_Morning,one,Economy,7.33,46,6946
